Cluster,CID,Platform customer ID,customer_name,Detail/Error,serial,Customer ID,platform id
EU,878a391a752f4b56bab8d0efd5d5bf95,6a9522e47ab811ecb6e24e266d7aec37,AL GHURAIR GROUP,Company: AL GHURAIR GROUP | Region: eu-central | Type: STANDALONE | Found IDs: 878a391a752f4b56bab8d0efd5d5bf95,CT0824641,cd8eba4daf0f4de39bc23b9ccd313df3,
EU,b5e3fa714c244c94af55f55e60fc152d,6bb2d0c0849c11ecabd5924ebb952c5e,SGTS,"Company: Saint-Gobain SAML 07E4564C | Region: US | Type: MSP | Found IDs: 6cdb2d27f5354e4d87f07232b6a2a044, 849d23f11b93481697a01c72bbd6e6ee, b5e3fa714c244c94af55f55e60fc152d, d573e30aeeea4c3fb041562185add17d | Matched inside Tenants: SGTS-FR, SGTS-EMME, SGTS-IN, SGTS-NA",PHSSLJ57P0,27651a84523d11ee9a884e07ff7bd138,
EU,cb6d0e95f3744d98952da72381fe4aad,4b89313ec0ee11eca8480a4dae534d5e,Etisalat Misr S,Company: OV Jumeirah | Region: eu-central | Type: TENANT | Found IDs: cb6d0e95f3744d98952da72381fe4aad,PHSTLBM6PJ,a22cb4eaf3ae40daa30265c7489bcb93,
EU,cb6d0e95f3744d98952da72381fe4aad,fb444ccc7ab611ecb9d48ea64e79e227,Etisalat Misr S,Company: Etisalat Misr S.A.E | Region: eu-central | Type: MSP | Found IDs: cb6d0e95f3744d98952da72381fe4aad | Matched inside Tenants: OV Jumeirah,CNCRHMJ8MJ,0a2c953a9bad479bb1f104785b751558,
EU,d573e30aeeea4c3fb041562185add17d,6bb2d0c0849c11ecabd5924ebb952c5e,SGTS,"Company: Saint-Gobain SAML 07E4564C | Region: US | Type: MSP | Found IDs: 6cdb2d27f5354e4d87f07232b6a2a044, 849d23f11b93481697a01c72bbd6e6ee, b5e3fa714c244c94af55f55e60fc152d, d573e30aeeea4c3fb041562185add17d | Matched inside Tenants: SGTS-FR, SGTS-EMME, SGTS-IN, SGTS-NA",CNG7JSW2GN,ad4dd348b9df11ee9f6ec6735aa4d8fd,
EU,d6e7fc3e026b4833850adc7b1a5ffe2e,6e13d6f6c0ed11eca8480a4dae534d5e,HPE CEU,Company: HPE CEU | Region: eu-central | Type: STANDALONE | Found IDs: d6e7fc3e026b4833850adc7b1a5ffe2e,CNGRJSS4N9,6b5e9e0e9b29482fbe27a75491802ea1,
EU,e95c37b0daba474e8040dc71aa59004f,0358e1467ab911ecb9d48ea64e79e227,MARTIN,Company: MARTIN-BAKER AIRCRAFT CO LTD | Region: eu-central | Type: STANDALONE | Found IDs: e95c37b0daba474e8040dc71aa59004f,CNNFKYJ1R4,bf4a0574249511eeb003e69dddd75952,
eucentral3,0a2c953a9bad479bb1f104785b751558,cc270aae7ab811ec958f52b1e61a20e5,BAHCESEHIR KOLEJI SCHOOL,Company: BAHCESEHIR KOLEJI SCHOOL | Region: eu-central | Type: STANDALONE | Found IDs: 0a2c953a9bad479bb1f104785b751558,CNNPKWC07G,e385fd7e675911ee897c865e6ae07a78,
eucentral3,4b4243caf3e511ed9550221ede242974,29c2f222f3d511ed90c4b205c9d53908,,Company: VASBV | Region: US | Type: STANDALONE | Found IDs: 4b4243caf3e511ed9550221ede242974,CNPBLBM75T,4b4243caf3e511ed9550221ede242974,
eucentral3,5858b7e70aff448db984bada2b9d3a02,704cdadcfd9011ec8fbafe57240c98d0,UPM Kymmene Aruba Central,Company: UPM Kymmene Aruba Central | Region: eu-central | Type: STANDALONE | Found IDs: 5858b7e70aff448db984bada2b9d3a02,CNPBLBM783,4b4243caf3e511ed9550221ede242974,
eucentral3,6b5e9e0e9b29482fbe27a75491802ea1,1a2828b4fd9011ec8fbafe57240c98d0,R,Company: Région Île-de-France | Region: eu-central | Type: STANDALONE | Found IDs: 6b5e9e0e9b29482fbe27a75491802ea1,CNPWLBM2MX,f757a2851829406794b4613094e47c2f,
eucentral3,ad4dd348b9df11ee9f6ec6735aa4d8fd,04ecedee854b11ec8c33ca1d4ee14f34,MSC AGL,Company: MSC MSP | Region: US | Type: MSP | Found IDs: ad4dd348b9df11ee9f6ec6735aa4d8fd | Matched inside Tenants: MSC AGL,CNPYKZD00S,bf4a0574249511eeb003e69dddd75952,
eucentral3,ad4dd348b9df11ee9f6ec6735aa4d8fd,d9076590b13711eea9d3d6e75dd41492,MSC AGL,Company: MSC AGL | Region: US | Type: TENANT | Found IDs: ad4dd348b9df11ee9f6ec6735aa4d8fd,CNPYKZD025,bf4a0574249511eeb003e69dddd75952,
eucentral3,bf4a0574249511eeb003e69dddd75952,deceafee1f2211eea5bd8a44cf309552,Fylde Coast Academy Trust,Company: Fylde Coast Academy Trust | Region: US | Type: STANDALONE | Found IDs: bf4a0574249511eeb003e69dddd75952,CNPYKZD02V,bf4a0574249511eeb003e69dddd75952,
eucentral3,cd9629bec4a011ed854e727c9b6d12c8,52031078c4a011ed8a5dfebb90198541,Strawberry,Company: Strawberry | Region: US | Type: STANDALONE | Found IDs: cd9629bec4a011ed854e727c9b6d12c8,CNPYKZD02X,bf4a0574249511eeb003e69dddd75952,
eucentral3,d02218c61c6e11ed926e56931c198428,c1e4b2b01c6d11ed965a8a473c3911af,Value Logistics,Company: Value Logistics | Region: US | Type: STANDALONE | Found IDs: d02218c61c6e11ed926e56931c198428,CNPYKZD031,bf4a0574249511eeb003e69dddd75952,
eucentral3,e385fd7e675911ee897c865e6ae07a78,a6ff0158635c11ee899d72a4aa2098a2,Arab Petroleum Investments Corporation,Company: Arab Petroleum Investments Corporation | Region: US | Type: STANDALONE | Found IDs: e385fd7e675911ee897c865e6ae07a78,CNPYKZD04R,bf4a0574249511eeb003e69dddd75952,
eucentral3,f757a2851829406794b4613094e47c2f,500e6d1cfd9011ec8fbafe57240c98d0,covim spa,Company: covim spa | Region: eu-central | Type: STANDALONE | Found IDs: f757a2851829406794b4613094e47c2f,CNPYKZD066,bf4a0574249511eeb003e69dddd75952,
eucentral3,ff462210d93c11ed90961a41491e856c,5c4d5d8cd93a11ed856d52da180d838f,CSJ,Company: CSJ | Region: US | Type: STANDALONE | Found IDs: ff462210d93c11ed90961a41491e856c,CNPYKZD097,bf4a0574249511eeb003e69dddd75952,
uswest4,026b7ce20e8b11ed98c4022bd19aa8e4,ec53842c0e8a11eda1d062d697693ce1,Beauregard Parish School Board,Company: Beauregard Parish School Board | Region: US | Type: STANDALONE | Found IDs: 026b7ce20e8b11ed98c4022bd19aa8e4,CNPYKZD09F,bf4a0574249511eeb003e69dddd75952,
uswest4,27651a84523d11ee9a884e07ff7bd138,747fac0a523611ee88f4d2061b356b85,ASBC,Company: ASBC | Region: US | Type: STANDALONE | Found IDs: 27651a84523d11ee9a884e07ff7bd138,CNPYKZD0B0,bf4a0574249511eeb003e69dddd75952,
uswest4,69ddd53412f311edb5e2c2956deb38f9,bd1a5df412f211edbb16ce3fe53b83a3,,Company: Ajman chamber | Region: US | Type: STANDALONE | Found IDs: 69ddd53412f311edb5e2c2956deb38f9,CNPYKZD0BC,bf4a0574249511eeb003e69dddd75952,
uswest4,a22cb4eaf3ae40daa30265c7489bcb93,a40ba51ac67711eca2cf9efb55836a4d,Docol,Company: Docol | Region: us-west | Type: STANDALONE | Found IDs: a22cb4eaf3ae40daa30265c7489bcb93,CNPYKZD0BJ,bf4a0574249511eeb003e69dddd75952,
uswest4,cd8eba4daf0f4de39bc23b9ccd313df3,8bd3142ac67611eca2cf9efb55836a4d,Jefferson Parish Public School System,Company: Jefferson Parish Public School System | Region: us-west | Type: STANDALONE | Found IDs: cd8eba4daf0f4de39bc23b9ccd313df3,CNPYKZD0BM,bf4a0574249511eeb003e69dddd75952,
uswest4,cebafa6f01a4405683f890ad6d40b19e,59750afe855011ecb95dcad7e76eb997,M DIAS BRANCO,Company: M DIAS BRANCO | Region: US | Type: STANDALONE | Found IDs: cebafa6f01a4405683f890ad6d40b19e,CNPYKZD0BY,bf4a0574249511eeb003e69dddd75952,
uswest4,cfee3cf3d8d34e9eace7d10845962028,894a055ac67711eca2cf9efb55836a4d,Darigold,Company: Darigold | Region: us-west | Type: STANDALONE | Found IDs: cfee3cf3d8d34e9eace7d10845962028,CNPYKZD0C2,bf4a0574249511eeb003e69dddd75952,
central prod2,09c41df395404be89feac8ee6118f589,98dc0a6e7ab811ec8983beab16355848,Rhea County Schools,Company: Rhea County Schools | Region: us-west | Type: STANDALONE | Found IDs: 09c41df395404be89feac8ee6118f589,CNPYKZD0D7,bf4a0574249511eeb003e69dddd75952,
central prod2,2003034,0592013c849a11ec98b64e266d7aec37,ProAmpac SAML,Company: ProAmpac SAML 9C5EC144 | Region: US | Type: STANDALONE | Found IDs: 2003034,CNPYKZD0DP,bf4a0574249511eeb003e69dddd75952,
central prod2,215e5c454b064183b681c61790aef9c4,51c340947ab711ec9e04e24f515411d3,MERIWETHER COUNTY SCHOOL SYSTE,Company: MERIWETHER COUNTY SCHOOL SYSTE | Region: us-west | Type: STANDALONE | Found IDs: 215e5c454b064183b681c61790aef9c4,CNPYKZD0G8,bf4a0574249511eeb003e69dddd75952,
central prod2,3307a7679b474eb5accbe927319b74a3,4f80c9e4cc1211ecb6fdfef9f61ff907,WP Rawl and Sons,Company: WP Rawl and Sons | Region: us-west | Type: STANDALONE | Found IDs: 3307a7679b474eb5accbe927319b74a3,CNPYKZD0GC,bf4a0574249511eeb003e69dddd75952,
central prod2,3b0245314cf7441398106cfd89b38642,463fbfe47ab811ec8888560735cddfe1,Greystar Global Enterprise,"Company: Greystar Global Enterprise, LLC | Region: us-west | Type: STANDALONE | Found IDs: 3b0245314cf7441398106cfd89b38642",CNPYKZD0GG,bf4a0574249511eeb003e69dddd75952,
central prod2,4ce78f32bde345e39b44bc516ab1a553,233090cccc1211ecb6fdfef9f61ff907,,Company: Franklin Towne Charter High School | Region: us-west | Type: STANDALONE | Found IDs: 4ce78f32bde345e39b44bc516ab1a553,CNPYKZD0GL,bf4a0574249511eeb003e69dddd75952,
central prod2,5497d201815443eca74920c910e52c5a,7a4eee3c7ab711ec9250ba50c21c58e9,VERA WANG BRIDAL HOUSE,Company: VERA WANG BRIDAL HOUSE | Region: us-west | Type: STANDALONE | Found IDs: 5497d201815443eca74920c910e52c5a,CNPYKZD0H8,bf4a0574249511eeb003e69dddd75952,
central prod2,6044076ffb3b4220bd144e38071da53f,9159b60ecc1311ecb6fdfef9f61ff907,MILLENNIUM DIGITAL TECHNOLOGIES LLC,Company: Piggly Wiggly ngaqv | Region: us-west | Type: TENANT | Found IDs: 6044076ffb3b4220bd144e38071da53f,CNPYKZD0HD,bf4a0574249511eeb003e69dddd75952,
central prod2,6044076ffb3b4220bd144e38071da53f,c8d3cd427ab811ecb8703e7cfd568923,Piggly Wiggly ngaqv,Company: MILLENNIUM DIGITAL TECHNOLOGIES LLC | Region: us-west | Type: MSP | Found IDs: 6044076ffb3b4220bd144e38071da53f | Matched inside Tenants: Piggly Wiggly ngaqv,CNPYKZD0HK,bf4a0574249511eeb003e69dddd75952,
central prod2,71dc740e481011eeafda72394c12db08,503b7b9ecc1311ecb6fdfef9f61ff907,Conexi,Company: Conexión Total znula | Region: us-west | Type: MSP | Found IDs: 71dc740e481011eeafda72394c12db08 | Matched inside Tenants: U.  Técnica de Cotopaxi,CNPYKZD0HN,bf4a0574249511eeb003e69dddd75952,
central prod2,71dc740e481011eeafda72394c12db08,a2bf628c480811eeb2f66a14af18fb1d,U,Company: U.  Técnica de Cotopaxi | Region: us-west | Type: TENANT | Found IDs: 71dc740e481011eeafda72394c12db08,CNPYKZD0HP,bf4a0574249511eeb003e69dddd75952,
central prod2,7f8c354e598b42d09c156f0d8d76e2ac,b0e447bc7ab711ec9e058ea64e79e227,INTER,Company: INTER-AMERICAN DEVELOPMENT BANK | Region: us-west | Type: STANDALONE | Found IDs: 7f8c354e598b42d09c156f0d8d76e2ac,CNQ1K9W9FP,ff462210d93c11ed90961a41491e856c,
central prod2,9696f0646fb44973944f9b4271b32132,fb9e3994cc0f11ecb6fdfef9f61ff907,AVN,Company: AVN | Region: us-west | Type: STANDALONE | Found IDs: 9696f0646fb44973944f9b4271b32132,CNQ1K9W9FV,ff462210d93c11ed90961a41491e856c,
central prod2,9d12898fe2114f1496ad547b7eb1487d,9469437a7ab811ec898072b242e4f66d,SSML Marine,Company: SSML Marine | Region: us-west | Type: STANDALONE | Found IDs: 9d12898fe2114f1496ad547b7eb1487d,CNQFLJ65XC,bf4a0574249511eeb003e69dddd75952,
central prod2,a17118f490fb11eda3f742123b3fa611,2114b2e0cb6411ec8494baf8061c686b,Safety NetAccess Marriott,Company: Safety NetAccess Marriott-MIGR-04052022-043905 | Region: us-west | Type: MSP | Found IDs: a17118f490fb11eda3f742123b3fa611 | Matched inside Tenants: YULSH - SpringHill Suites Old Montreal,CNQHKWC0TT,e385fd7e675911ee897c865e6ae07a78,
central prod2,a26ad2a1f47845d3a7c7d92ec1a81416,d0bc3c64cc1211ecb6fdfef9f61ff907,BP Bioenergy,Company: BP Bioenergy | Region: us-west | Type: STANDALONE | Found IDs: a26ad2a1f47845d3a7c7d92ec1a81416,CNQHLJ53Z7,cd9629bec4a011ed854e727c9b6d12c8,
central prod2,cb90edf7939d4ecbbba5cd7354fd4843,46d0d5de7ab711ecbad7caf960d7426d,United Farmers of Alberta,Company: United Farmers of Alberta | Region: us-west | Type: STANDALONE | Found IDs: cb90edf7939d4ecbbba5cd7354fd4843,CNT6KD00XQ,d02218c61c6e11ed926e56931c198428,
central prod2,ced8b9a7c56d4d5b9c047ed1de8f10db,cb4390a2cc1211ecb6fdfef9f61ff907,ICT Inc Cloud,Company: ICT Inc Cloud | Region: us-west | Type: STANDALONE | Found IDs: ced8b9a7c56d4d5b9c047ed1de8f10db,VNS6KWC11G,e385fd7e675911ee897c865e6ae07a78,
central prod2,cfee9f420067c488dbdb2b49d4d5f5b71,8f402bd2cc1311ecb6fdfef9f61ff907,,Company: Hytrol Conveyor | Region: us-west | Type: STANDALONE | Found IDs: cfe9f420067c488dbdb2b49d4d5f5b71,VNTBKWC28M,5858b7e70aff448db984bada2b9d3a02,
central prod2,dd9e8515b972404eac162714886b7140,e7df0f2acc1211ecb6fdfef9f61ff907,Sparta Area School District,Company: Sparta Area School District | Region: us-west | Type: STANDALONE | Found IDs: dd9e8515b972404eac162714886b7140,VNTBKWC294,5858b7e70aff448db984bada2b9d3a02,
central prod2,e10be55da08041b9b4d40aabcac4b1a0,2168ef90cc1311ecb6fdfef9f61ff907,Intercontinental Exchange,Company: Intercontinental Exchange | Region: us-west | Type: STANDALONE | Found IDs: e10be55da08041b9b4d40aabcac4b1a0,CNC8J0T01Z,7f8c354e598b42d09c156f0d8d76e2ac,
central prod2,f94eebcbbf8245e9b472c5b81cb650f4,b1e3342a7ab711ecb671560735cddfe1,WABTEC Corporation,Company: WABTEC Corporation | Region: us-west | Type: STANDALONE | Found IDs: f94eebcbbf8245e9b472c5b81cb650f4,CNC8J0T0FQ,7f8c354e598b42d09c156f0d8d76e2ac,
central prod2,f9ec952153ff4aec8f055b239515b248,666a5c347ab811ec8888560735cddfe1,Benemerito Cuerpo De Bomberos Voluntarios De Cuenca,Company: Benemerito Cuerpo De Bomberos Voluntarios De Cuenca | Region: us-west | Type: STANDALONE | Found IDs: f9ec952153ff4aec8f055b239515b248,CNC8J0T37V,7f8c354e598b42d09c156f0d8d76e2ac,
,,,,,CNCCJ0T6R7,ced8b9a7c56d4d5b9c047ed1de8f10db,
,,,,,CNDQJ0T1JN,7f8c354e598b42d09c156f0d8d76e2ac,
,,,,,CNGDJ0T0QZ,dd9e8515b972404eac162714886b7140,
,,,,,CNGXJ0T45W,f94eebcbbf8245e9b472c5b81cb650f4,
,,,,,CNH2JSW1PD,cb90edf7939d4ecbbba5cd7354fd4843,
,,,,,CNH7KD5D6G,4ce78f32bde345e39b44bc516ab1a553,
,,,,,CNM8KD596Z,2003034,
,,,,,CNMFJ0T41N,71dc740e481011eeafda72394c12db08,
,,,,,CNMFJ0T4BN,71dc740e481011eeafda72394c12db08,
,,,,,CNMFJ0T4JR,71dc740e481011eeafda72394c12db08,
,,,,,CNMHKWD1Q6,215e5c454b064183b681c61790aef9c4,
,,,,,CNMWKV10HV,9d12898fe2114f1496ad547b7eb1487d,
,,,,,CNMYKPP99Y,f9ec952153ff4aec8f055b239515b248,
,,,,,CNNMKPP3TL,3307a7679b474eb5accbe927319b74a3,
,,,,,CNV6LJ63HF,9696f0646fb44973944f9b4271b32132,
,,,,,CNV7LGQ14S,2004796,
,,,,,PHQCKD52JB,4ce78f32bde345e39b44bc516ab1a553,
,,,,,PHQCKD5L6F,09c41df395404be89feac8ee6118f589,
,,,,,PHQNKYJ1DQ,5497d201815443eca74920c910e52c5a,
,,,,,PHQQLBN3LG,4ce78f32bde345e39b44bc516ab1a553,
,,,,,PHQQLBN4H8,4ce78f32bde345e39b44bc516ab1a553,
,,,,,PHQQLBN4Q3,4ce78f32bde345e39b44bc516ab1a553,
,,,,,PHQQLBN4WZ,4ce78f32bde345e39b44bc516ab1a553,
,,,,,PHQYLBM14V,6044076ffb3b4220bd144e38071da53f,
,,,,,PHRVLBM314,f9ec952153ff4aec8f055b239515b248,
,,,,,PHTJKSL2VD,a17118f490fb11eda3f742123b3fa611,
,,,,,PHTJKSL2VR,a17118f490fb11eda3f742123b3fa611,
,,,,,PHV0KYJ14H,e10be55da08041b9b4d40aabcac4b1a0,
,,,,,USN9K9W07C,3b0245314cf7441398106cfd89b38642,
,,,,,USN9K9W09S,3b0245314cf7441398106cfd89b38642,
,,,,,USN9K9W0B1,3b0245314cf7441398106cfd89b38642,
,,,,,VNQMK9W2C9,4ce78f32bde345e39b44bc516ab1a553,
,,,,,VNQMK9W2GY,4ce78f32bde345e39b44bc516ab1a553,
,,,,,VNS2KWD0J5,cfe9f420067c488dbdb2b49d4d5f5b71,
,,,,,VNSPKWC1B6,a26ad2a1f47845d3a7c7d92ec1a81416,
,,,,,CNC6J0T14B,288f71c51c75467383855219973b2fd1,
,,,,,CNCGJ0T5LK,288f71c51c75467383855219973b2fd1,
,,,,,CNCGJ0T6R8,55a6eb7ef94548609eaf8a7108caa93e,
,,,,,CNCHHMJHM6,7cf57caed60748c8a0cde24d34e3e695,
,,,,,CNCRHMZ04S,b5e3fa714c244c94af55f55e60fc152d,
,,,,,CNDDJSTQV1,339a9b68e83641f7b4e0704e71780629,
,,,,,CNFTK5115C,d573e30aeeea4c3fb041562185add17d,
,,,,,CNFVK9T8ZC,4000615,
,,,,,CNFVK9T8ZF,4000615,
,,,,,CNFVK9T8ZG,4000615,
,,,,,CNFYJSS7YZ,6cdb2d27f5354e4d87f07232b6a2a044,
,,,,,CNGVK8004D,d573e30aeeea4c3fb041562185add17d,
,,,,,CNGWHN72XG,e95c37b0daba474e8040dc71aa59004f,
,,,,,CNHXK800LJ,849d23f11b93481697a01c72bbd6e6ee,
,,,,,CNJ1KD53KP,cb6d0e95f3744d98952da72381fe4aad,
,,,,,CNLVKPP1SJ,0e219f6eca1d11eda9fa06560ebc3512,
,,,,,CNMQKV302M,849d23f11b93481697a01c72bbd6e6ee,
,,,,,CNMSKPP87K,545d8478f8e411efafc1366082a9efc0,
,,,,,CNMZKPPD7M,6cdb2d27f5354e4d87f07232b6a2a044,
,,,,,CNNGKPPGJ9,55a6eb7ef94548609eaf8a7108caa93e,
,,,,,CNNGKPPGJC,55a6eb7ef94548609eaf8a7108caa93e,
,,,,,CNNHKD5QHH,cb6d0e95f3744d98952da72381fe4aad,
,,,,,CNPPLJ6C7Q,f57f500c903541e39847723b6b00cd68,
,,,,,CNQNKV40BW,d573e30aeeea4c3fb041562185add17d,
,,,,,CNTLKPP56R,d6e7fc3e026b4833850adc7b1a5ffe2e,
,,,,,CNTZKYJ5Q5,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ5S9,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ5TV,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ5WB,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ60Y,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ61F,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ61J,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ61L,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ61P,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ626,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ63D,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,PHQXKV10HV,b5e3fa714c244c94af55f55e60fc152d,
,,,,,VNQPK9W1MS,e95c37b0daba474e8040dc71aa59004f,
,,,,,CNC6J0T14B,288f71c51c75467383855219973b2fd1,
,,,,,CNCGJ0T5LK,288f71c51c75467383855219973b2fd1,
,,,,,CNCGJ0T6R8,55a6eb7ef94548609eaf8a7108caa93e,
,,,,,CNCHHMJHM6,7cf57caed60748c8a0cde24d34e3e695,
,,,,,CNCRHMZ04S,b5e3fa714c244c94af55f55e60fc152d,
,,,,,CNDDJSTQV1,339a9b68e83641f7b4e0704e71780629,
,,,,,CNFTK5115C,d573e30aeeea4c3fb041562185add17d,
,,,,,CNFVK9T8ZC,4000615,
,,,,,CNFVK9T8ZF,4000615,
,,,,,CNFVK9T8ZG,4000615,
,,,,,CNFYJSS7YZ,6cdb2d27f5354e4d87f07232b6a2a044,
,,,,,CNGVK8004D,d573e30aeeea4c3fb041562185add17d,
,,,,,CNGWHN72XG,e95c37b0daba474e8040dc71aa59004f,
,,,,,CNHXK800LJ,849d23f11b93481697a01c72bbd6e6ee,
,,,,,CNJ1KD53KP,cb6d0e95f3744d98952da72381fe4aad,
,,,,,CNLVKPP1SJ,0e219f6eca1d11eda9fa06560ebc3512,
,,,,,CNMQKV302M,849d23f11b93481697a01c72bbd6e6ee,
,,,,,CNMSKPP87K,545d8478f8e411efafc1366082a9efc0,
,,,,,CNMZKPPD7M,6cdb2d27f5354e4d87f07232b6a2a044,
,,,,,CNNGKPPGJ9,55a6eb7ef94548609eaf8a7108caa93e,
,,,,,CNNGKPPGJC,55a6eb7ef94548609eaf8a7108caa93e,
,,,,,CNNHKD5QHH,cb6d0e95f3744d98952da72381fe4aad,
,,,,,CNPPLJ6C7Q,f57f500c903541e39847723b6b00cd68,
,,,,,CNQNKV40BW,d573e30aeeea4c3fb041562185add17d,
,,,,,CNTLKPP56R,d6e7fc3e026b4833850adc7b1a5ffe2e,
,,,,,CNTZKYJ5Q5,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ5S9,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ5TV,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ5WB,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ60Y,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ61F,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ61J,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ61L,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ61P,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ626,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,CNTZKYJ63D,878a391a752f4b56bab8d0efd5d5bf95,
,,,,,PHQXKV10HV,b5e3fa714c244c94af55f55e60fc152d,
,,,,,VNQPK9W1MS,e95c37b0daba474e8040dc71aa59004f,
